Date,AAPL,NVDA,TSLA
2021-03-05,118.26,12.43,199.32
2021-03-08,113.33,11.56,187.67
2021-03-09,117.94,12.49,224.53
2021-03-10,116.86,12.44,222.69
2021-03-11,118.79,12.96,233.2
2021-03-12,117.88,12.82,231.24
2021-03-15,120.77,13.16,235.98
2021-03-16,122.3,13.26,225.63
2021-03-17,121.52,13.31,233.94
2021-03-18,117.4,12.69,217.72
2021-03-19,116.87,12.81,218.29
2021-03-22,120.18,13.15,223.33
2021-03-23,119.35,13.04,220.72
2021-03-24,116.97,12.61,210.09
2021-03-25,117.45,12.5,213.46
2021-03-26,118.06,12.81,206.24
2021-03-29,118.23,12.92,203.76
2021-03-30,116.78,12.84,211.87
2021-03-31,118.97,13.32,222.64
2021-04-01,119.8,13.78,220.58
2021-04-05,122.63,13.95,230.35
2021-04-06,122.93,13.83,230.54
2021-04-07,124.57,14.11,223.66
2021-04-08,126.97,14.28,227.93
2021-04-09,129.54,14.36,225.67
2021-04-12,127.83,15.17,233.99
2021-04-13,130.93,15.64,254.11
2021-04-14,128.6,15.24,244.08
2021-04-15,131.0,16.1,246.28
2021-04-16,130.67,15.87,246.59
2021-04-19,131.33,15.32,238.21
2021-04-20,129.65,15.13,239.66
2021-04-21,130.03,15.32,248.04
2021-04-22,128.51,14.81,239.9
2021-04-23,130.83,15.23,243.13
2021-04-26,131.22,15.44,246.07
2021-04-27,130.9,15.34,234.91
2021-04-28,130.11,15.24,231.47
2021-04-29,130.01,15.29,225.67
2021-04-30,128.04,14.97,236.48
2021-05-03,129.09,14.8,228.3
2021-05-04,124.53,14.32,224.53
2021-05-05,124.77,14.42,223.65
2021-05-06,126.37,14.49,221.18
2021-05-07,127.04,14.78,224.12
2021-05-10,123.76,14.23,209.68
2021-05-11,122.84,14.27,205.73
2021-05-12,119.78,13.72,196.63
2021-05-13,121.93,13.63,190.56
2021-05-14,124.35,14.21,196.58
2021-05-17,123.2,14.13,192.28
2021-05-18,121.81,13.98,192.62
2021-05-19,121.65,14.03,187.82
2021-05-20,124.21,14.58,195.59
2021-05-21,122.38,14.95,193.63
2021-05-24,124.01,15.57,202.15
2021-05-25,123.81,15.61,201.56
2021-05-26,123.76,15.66,206.38
2021-05-27,122.23,15.45,210.28
2021-05-28,121.58,16.2,208.41
2021-06-01,121.25,16.22,207.97
2021-06-02,122.01,16.74,201.71
2021-06-03,120.53,16.93,190.95
2021-06-04,122.82,17.54,199.68
2021-06-07,122.83,17.58,201.71
2021-06-08,123.65,17.41,201.2
2021-06-09,124.03,17.32,199.59
2021-06-10,123.04,17.39,203.37
2021-06-11,124.25,17.79,203.3
2021-06-14,127.3,17.98,205.9
2021-06-15,126.48,17.75,199.79
2021-06-16,126.98,17.77,201.62
2021-06-17,128.58,18.62,205.53
2021-06-18,127.28,18.6,207.77
2021-06-21,129.08,18.39,206.94
2021-06-22,130.72,18.84,207.9
2021-06-23,130.44,19.01,218.86
2021-06-24,130.16,19.16,226.61
2021-06-25,129.87,18.99,223.96
2021-06-28,131.5,19.94,229.57
2021-06-29,133.01,19.98,226.92
2021-06-30,133.63,19.96,226.57
2021-07-01,133.93,20.17,225.97
2021-07-02,136.55,20.44,226.3
2021-07-06,138.56,20.65,219.86
2021-07-07,141.05,20.33,214.88
2021-07-08,139.75,19.86,217.6
2021-07-09,141.58,20.01,218.98
2021-07-12,140.98,20.47,228.57
2021-07-13,142.09,20.2,222.85
2021-07-14,145.52,19.8,217.79
2021-07-15,144.86,18.92,216.87
2021-07-16,142.83,18.12,214.74
2021-07-19,138.98,18.74,215.41
2021-07-20,142.59,18.57,220.17
2021-07-21,141.86,19.37,218.43
2021-07-22,143.23,19.55,216.42
2021-07-23,144.94,19.51,214.46
2021-07-26,145.36,19.25,219.21
2021-07-27,143.2,19.17,214.93
2021-07-28,141.45,19.46,215.66
2021-07-29,142.09,19.62,225.78
2021-07-30,142.31,19.46,229.07
2021-08-02,141.98,19.71,236.56
2021-08-03,143.77,19.77,236.58
2021-08-04,143.37,20.23,236.97
2021-08-05,143.48,20.59,238.21
2021-08-06,142.8,20.32,233.03
2021-08-09,142.75,20.25,237.92
2021-08-10,142.27,19.89,236.66
2021-08-11,142.52,19.66,235.94
2021-08-12,145.48,19.86,240.75
2021-08-13,145.69,20.14,239.06
2021-08-16,147.66,19.91,228.72
2021-08-17,146.75,19.41,221.9
2021-08-18,143.01,19.0,229.66
2021-08-19,143.34,19.75,224.49
2021-08-20,144.8,20.77,226.75
2021-08-23,146.28,21.91,235.43
2021-08-24,146.2,21.74,236.16
2021-08-25,144.96,22.16,237.07
2021-08-26,144.16,22.02,233.72
2021-08-27,145.2,22.59,237.31
2021-08-30,149.62,22.64,243.64
2021-08-31,148.35,22.34,245.24
2021-09-01,149.02,22.39,244.7
2021-09-02,150.13,22.35,244.13
2021-09-03,150.77,22.8,244.52
2021-09-07,153.1,22.62,250.97
2021-09-08,151.56,22.29,251.29
2021-09-09,150.54,22.13,251.62
2021-09-10,145.56,22.43,245.42
2021-09-13,146.13,22.11,247.67
2021-09-14,144.73,22.2,248.16
2021-09-15,145.62,22.3,251.94
2021-09-16,145.38,22.2,252.33
2021-09-17,142.72,21.85,253.16
2021-09-20,139.67,21.07,243.39
2021-09-21,140.15,21.2,246.46
2021-09-22,142.51,21.9,250.65
2021-09-23,143.47,22.44,251.21
2021-09-24,143.56,22.04,258.13
2021-09-27,142.04,21.62,263.79
2021-09-28,138.66,20.66,259.19
2021-09-29,139.56,20.47,260.44
2021-09-30,138.26,20.67,258.49
2021-10-01,139.38,20.7,258.41
2021-10-04,135.96,19.69,260.51
2021-10-05,137.88,20.41,260.2
2021-10-06,138.75,20.66,260.92
2021-10-07,140.01,21.03,264.54
2021-10-08,139.63,20.79,261.83
2021-10-11,139.54,20.65,263.98
2021-10-12,138.27,20.63,268.57
2021-10-13,137.68,20.9,270.36
2021-10-14,140.47,21.7,272.77
2021-10-15,141.52,21.82,281.01
2021-10-18,143.2,22.18,290.04
2021-10-19,145.36,22.24,288.09
2021-10-20,145.84,22.06,288.6
2021-10-21,146.06,22.65,298.0
2021-10-22,145.29,22.68,303.23
2021-10-25,145.24,23.12,341.62
2021-10-26,145.9,24.67,339.48
2021-10-27,145.44,24.4,345.95
2021-10-28,149.08,24.89,359.01
2021-10-29,146.37,25.51,371.33
2021-11-01,145.55,25.77,402.86
2021-11-02,146.59,26.35,390.67
2021-11-03,148.02,26.54,404.62
2021-11-04,147.5,29.74,409.97
2021-11-05,148.03,29.69,407.36
2021-11-08,147.21,30.74,387.65
2021-11-09,147.57,30.59,341.17
2021-11-10,144.75,29.4,355.98
2021-11-11,144.7,30.33,354.5
2021-11-12,146.77,30.33,344.47
2021-11-15,146.78,29.96,337.8
2021-11-16,147.76,30.14,351.58
2021-11-17,150.2,29.2,363.0
2021-11-18,154.48,31.61,365.46
2021-11-19,157.1,32.92,379.02
2021-11-22,157.56,31.89,385.62
2021-11-23,157.95,31.68,369.68
2021-11-24,158.46,32.61,372.0
2021-11-26,153.44,31.44,360.64
2021-11-29,156.8,33.31,379.0
2021-11-30,161.75,32.61,381.59
2021-12-01,161.23,31.37,365.0
2021-12-02,160.25,32.06,361.53
2021-12-03,158.37,30.63,338.32
2021-12-06,161.77,29.98,336.34
2021-12-07,167.51,32.36,350.58
2021-12-08,171.32,31.76,356.32
2021-12-09,170.81,30.43,334.6
2021-12-10,175.6,30.14,339.01
2021-12-13,171.97,28.11,322.14
2021-12-14,170.59,28.28,319.5
2021-12-15,175.45,30.4,325.33
2021-12-16,168.56,28.33,308.97
2021-12-17,167.47,27.75,310.86
2021-12-20,166.11,27.67,299.98
2021-12-21,169.28,29.02,312.84
2021-12-22,171.87,29.34,336.29
2021-12-23,172.5,29.58,355.67
2021-12-27,176.46,30.89,364.65
2021-12-28,175.44,30.26,362.82
2021-12-29,175.53,29.94,362.06
2021-12-30,174.38,29.53,356.78
2021-12-31,173.76,29.35,352.26
2022-01-03,178.1,30.06,399.93
2022-01-04,175.84,29.23,383.2
2022-01-05,171.17,27.55,362.71
2022-01-06,168.31,28.12,354.9
2022-01-07,168.47,27.19,342.32
2022-01-10,168.49,27.35,352.71
2022-01-11,171.32,27.76,354.8
2022-01-12,171.76,27.94,368.74
2022-01-13,168.49,26.52,343.85
2022-01-14,169.36,26.89,349.87
2022-01-18,166.16,25.85,343.5
2022-01-19,162.66,25.02,331.88
2022-01-20,160.98,24.1,332.09
2022-01-21,158.92,23.33,314.63
2022-01-24,158.15,23.33,310.0
2022-01-25,156.35,22.28,306.13
2022-01-26,156.26,22.73,312.47
2022-01-27,155.8,21.9,276.37
2022-01-28,166.67,22.8,282.12
2022-01-31,171.03,24.44,312.24
2022-02-01,170.86,24.59,310.42
2022-02-02,172.07,25.19,301.89
2022-02-03,169.19,23.9,297.05
2022-02-04,168.91,24.27,307.77
2022-02-07,168.19,24.68,302.45
2022-02-08,171.3,25.06,307.33
2022-02-09,172.72,26.65,310.67
2022-02-10,168.64,25.77,301.52
2022-02-11,165.23,23.9,286.67
2022-02-14,165.47,24.22,291.92
2022-02-15,169.3,26.44,307.48
2022-02-16,169.06,26.46,307.8
2022-02-17,165.47,24.46,292.12
2022-02-18,163.92,23.6,285.66
2022-02-22,161.0,23.34,273.84
2022-02-23,156.83,22.34,254.68
2022-02-24,159.45,23.7,266.92
2022-02-25,161.52,24.11,269.96
2022-02-28,161.78,24.34,290.14
2022-03-01,159.9,23.43,288.12
2022-03-02,163.19,24.18,293.3
2022-03-03,162.87,23.67,279.76
2022-03-04,159.87,22.9,279.43
2022-03-07,156.08,21.31,268.19
2022-03-08,154.26,21.48,274.8
2022-03-09,159.66,22.97,286.32
2022-03-10,155.32,22.62,279.43
2022-03-11,151.6,22.06,265.12
2022-03-14,147.58,21.29,255.46
2022-03-15,151.95,22.93,267.3
2022-03-16,156.36,24.45,280.08
2022-03-17,157.37,24.72,290.53
2022-03-18,160.67,26.41,301.8
2022-03-21,162.04,26.69,307.05
2022-03-22,165.41,26.48,331.33
2022-03-23,166.77,25.59,333.04
2022-03-24,170.55,28.1,337.97
2022-03-25,171.19,27.64,336.88
2022-03-28,172.05,28.17,363.95
2022-03-29,175.34,28.61,366.52
2022-03-30,174.18,27.64,364.66
2022-03-31,171.08,27.24,359.2
2022-04-01,170.79,26.66,361.53
2022-04-04,174.83,27.31,381.82
2022-04-05,171.52,25.89,363.75
2022-04-06,168.36,24.36,348.59
2022-04-07,168.66,24.17,352.42
2022-04-08,166.65,23.08,341.83
2022-04-11,162.4,21.88,325.31
2022-04-12,164.27,21.47,328.98
2022-04-13,166.96,22.16,340.79
2022-04-14,161.95,21.22,328.33
2022-04-18,161.73,21.74,334.76
2022-04-19,164.02,22.16,342.72
2022-04-20,163.85,21.44,325.73
2022-04-21,163.06,20.15,336.26
2022-04-22,158.52,19.48,335.02
2022-04-25,159.59,19.87,332.67
2022-04-26,153.63,18.75,292.14
2022-04-27,153.4,18.38,293.84
2022-04-28,160.33,19.75,292.5
2022-04-29,154.46,18.51,290.25
2022-05-02,154.77,19.5,300.98
2022-05-03,156.26,19.57,303.08
2022-05-04,162.66,20.3,317.54
2022-05-05,153.6,18.81,291.09
2022-05-06,154.33,18.64,288.55
2022-05-09,149.2,16.92,262.37
2022-05-10,151.61,17.56,266.68
2022-05-11,143.75,16.6,244.67
2022-05-12,139.88,16.15,242.67
2022-05-13,144.35,17.67,256.53
2022-05-16,142.81,17.23,241.46
2022-05-17,146.44,18.14,253.87
2022-05-18,138.18,16.91,236.6
2022-05-19,134.77,17.09,236.47
2022-05-20,135.01,16.66,221.3
2022-05-23,140.42,16.87,224.97
2022-05-24,137.72,16.13,209.39
2022-05-25,137.88,16.95,219.6
2022-05-26,141.08,17.82,235.91
2022-05-27,146.83,18.78,253.21
2022-05-31,146.05,18.64,252.75
2022-06-01,145.92,18.29,246.79
2022-06-02,148.37,19.56,258.33
2022-06-03,142.65,18.69,234.52
2022-06-06,143.4,18.75,238.28
2022-06-07,145.92,18.89,238.89
2022-06-08,145.18,18.62,241.87
2022-06-09,139.96,18.02,239.71
2022-06-10,134.56,16.95,232.23
2022-06-13,129.4,15.62,215.74
2022-06-14,130.27,15.81,220.89
2022-06-15,132.89,16.5,233.0
2022-06-16,127.62,15.58,213.1
2022-06-17,129.09,15.86,216.76
2022-06-21,133.32,16.54,237.04
2022-06-22,132.81,16.33,236.09
2022-06-23,135.67,16.2,235.07
2022-06-24,139.0,17.1,245.71
2022-06-27,139.0,16.84,244.92
2022-06-28,134.86,15.96,232.66
2022-06-29,136.62,15.52,228.49
2022-06-30,134.15,15.14,224.47
2022-07-01,136.32,14.5,227.26
2022-07-05,138.9,14.94,233.07
2022-07-06,140.24,15.11,231.73
2022-07-07,143.6,15.83,244.54
2022-07-08,144.28,15.81,250.76
2022-07-11,142.15,15.13,234.34
2022-07-12,143.12,15.06,233.07
2022-07-13,142.76,15.14,237.04
2022-07-14,145.68,15.35,238.31
2022-07-15,147.35,15.74,240.07
2022-07-18,144.31,16.08,240.55
2022-07-19,148.16,16.97,245.53
2022-07-20,150.17,17.78,247.5
2022-07-21,152.43,18.02,271.71
2022-07-22,151.2,17.29,272.24
2022-07-25,150.08,17.0,268.43
2022-07-26,148.75,16.51,258.86
2022-07-27,153.85,17.76,274.82
2022-07-28,154.4,17.96,280.9
2022-07-29,159.46,18.13,297.15
2022-08-01,158.48,18.41,297.28
2022-08-02,157.01,18.5,300.59
2022-08-03,163.01,18.86,307.4
2022-08-04,162.7,19.19,308.63
2022-08-05,162.47,18.96,288.17
2022-08-08,162.0,17.77,290.42
2022-08-09,162.05,17.06,283.33
